dataset,model,layer,method,value,speaker
timit,hubert-large-en,14,clf_mi,5.598320064000528,True
timit,hubert-large-en,14,km_2_mi,0.4272875314020223,False
timit,hubert-large-en,14,km_4_mi,0.6883214959463265,False
timit,hubert-large-en,14,km_8_mi,1.2037272161342687,False
timit,hubert-large-en,14,km_16_mi,1.5514373243787352,False
timit,hubert-large-en,14,km_32_mi,1.9411077980395408,False
timit,hubert-large-en,14,km_64_mi,2.198108951379865,False
timit,hubert-large-en,14,km_128_mi,2.5083932146288186,False
timit,hubert-large-en,14,km_256_mi,2.7535510187837544,False
timit,hubert-large-en,14,km_512_mi,2.898502988036252,False
timit,hubert-large-en,14,km_1024_mi,3.0065669405735695,False
timit,hubert-large-en,14,entropy,3.3947674978523117,False
timit,hubert-large-en,14,clf_mi,3.1275489915570063,False
timit,hubert-large-en,15,km_2_mi,0.009307296972467828,True
timit,hubert-large-en,15,km_4_mi,0.02542402396033777,True
timit,hubert-large-en,15,km_8_mi,0.06037296273794662,True
timit,hubert-large-en,15,km_16_mi,0.1300774693544134,True
timit,hubert-large-en,15,km_32_mi,0.28156881165206327,True
timit,hubert-large-en,15,km_64_mi,0.5483831177136453,True
timit,hubert-large-en,15,km_128_mi,0.9590340908611581,True
timit,hubert-large-en,15,km_256_mi,1.512606535263307,True
timit,hubert-large-en,15,km_512_mi,2.089556549675931,True
timit,hubert-large-en,15,km_1024_mi,2.671435302561944,True
timit,hubert-large-en,15,entropy,6.438161419540647,True
timit,hubert-large-en,15,clf_mi,4.839587611863976,True
timit,hubert-large-en,15,km_2_mi,0.38927541189883647,False
timit,hubert-large-en,15,km_4_mi,0.5717159143871251,False
timit,hubert-large-en,15,km_8_mi,0.9736807783854423,False
timit,hubert-large-en,15,km_16_mi,1.5063330624265887,False
timit,hubert-large-en,15,km_32_mi,1.682576572576845,False
timit,hubert-large-en,15,km_64_mi,2.1047844698364693,False
timit,hubert-large-en,15,km_128_mi,2.4299753165027616,False
timit,hubert-large-en,15,km_256_mi,2.6716996611299897,False
timit,hubert-large-en,15,km_512_mi,2.8540501743058244,False
timit,hubert-large-en,15,km_1024_mi,2.964671127126888,False
timit,hubert-large-en,15,entropy,3.3947674978523117,False
timit,hubert-large-en,15,clf_mi,3.1205610110796447,False
timit,hubert-large-en,16,km_2_mi,0.009417827575559359,True
timit,hubert-large-en,16,km_4_mi,0.025862164030371823,True
timit,hubert-large-en,16,km_8_mi,0.057021542085056186,True
timit,hubert-large-en,16,km_16_mi,0.13134691123901657,True
